state_time,experiment_type,t_peak,t_rise,t_fall,peak_tn,est_stride_dur,actual_stride_dur
59339,sav,51.3,25.299999999999997,10.300000000000004,0.18,-1,59340
60649,sav,51.3,25.299999999999997,10.300000000000004,0.18,1310,1310
61689,sav,51.3,25.299999999999997,10.300000000000004,0.18,1310,1040
62709,sav,51.3,25.299999999999997,10.300000000000004,0.18,1040,1020
63719,sav,51.3,25.299999999999997,10.300000000000004,0.18,1040,1010
64729,sav,51.3,25.299999999999997,10.300000000000004,0.18,1020,1010
65739,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1010
66739,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1000
67749,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1010
68769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1020
69779,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1010
70799,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1020
71789,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,990
72789,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1000
73789,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
74769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,980
75749,sav,51.3,25.299999999999997,10.300000000000004,0.18,990,980
76759,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1010
77759,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
78759,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
79759,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
80769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1010
81779,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1010
82779,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
83779,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
84769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,990
85769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
86779,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1010
87769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,990
88769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
89769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
90749,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,980
91759,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1010
92759,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
93769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1010
94759,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,990
95769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1010
96769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
97769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
98769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
99779,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1010
100769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,990
101779,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1010
102769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,990
103779,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1010
104759,sav,51.3,25.299999999999997,10.300000000000004,0.18,990,980
105769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1010
106769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
107789,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1020
108809,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1020
109799,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,990
110809,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1010
111809,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1000
112809,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
113809,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
114809,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
115789,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,980
116789,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
117769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,980
118779,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1010
119779,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
120769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,990
121769,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
122749,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,980
123739,sav,51.3,25.299999999999997,10.300000000000004,0.18,990,990
124739,sav,51.3,25.299999999999997,10.300000000000004,0.175,990,1000
125729,sav,51.3,25.299999999999997,10.300000000000004,0.175,990,990
126709,sav,51.3,25.299999999999997,10.300000000000004,0.175,990,980
127709,sav,51.3,25.299999999999997,10.300000000000004,0.175,990,1000
128709,sav,51.3,25.299999999999997,10.300000000000004,0.175,1000,1000
129699,sav,51.3,25.299999999999997,10.300000000000004,0.175,990,990
130689,sav,51.3,25.299999999999997,10.300000000000004,0.175,990,990
131689,sav,51.3,25.299999999999997,10.300000000000004,0.175,1000,1000
132699,sav,51.3,25.299999999999997,10.300000000000004,0.175,1000,1010
133709,sav,51.3,25.299999999999997,10.300000000000004,0.175,1000,1010
134709,sav,51.3,25.299999999999997,10.300000000000004,0.175,1000,1000
135719,sav,51.3,25.299999999999997,10.300000000000004,0.175,1010,1010
136719,sav,51.3,25.299999999999997,10.300000000000004,0.175,1010,1000
137729,sav,51.3,25.299999999999997,10.300000000000004,0.175,1010,1010
138739,sav,51.3,25.299999999999997,10.300000000000004,0.175,1010,1010
139719,sav,51.3,25.299999999999997,10.300000000000004,0.175,1010,980
140709,sav,51.3,25.299999999999997,10.300000000000004,0.175,1000,990
141699,sav,51.3,25.299999999999997,10.300000000000004,0.175,990,990
142689,sav,51.3,25.299999999999997,10.300000000000004,0.175,990,990
143699,sav,51.3,25.299999999999997,10.300000000000004,0.175,990,1010
144689,sav,51.3,25.299999999999997,10.300000000000004,0.18,990,990
145689,sav,51.3,25.299999999999997,10.300000000000004,0.18,990,1000
146679,sav,51.3,25.299999999999997,10.300000000000004,0.18,990,990
147669,sav,51.3,25.299999999999997,10.300000000000004,0.18,990,990
148649,sav,51.3,25.299999999999997,10.300000000000004,0.18,990,980
149629,sav,51.3,25.299999999999997,10.300000000000004,0.18,990,980
150629,sav,51.3,25.299999999999997,10.300000000000004,0.18,990,1000
151629,sav,51.3,25.299999999999997,10.300000000000004,0.18,990,1000
152629,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1000
153639,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1010
154649,sav,51.3,25.299999999999997,10.300000000000004,0.18,1000,1010
155659,sav,51.3,25.299999999999997,10.300000000000004,0.18,1010,1010
156639,sav,51.3,25.299999999999997,10.300000000000004,0.185,1010,980
157659,sav,51.3,25.299999999999997,10.300000000000004,0.185,1010,1020
158649,sav,51.3,25.299999999999997,10.300000000000004,0.185,1010,990
159649,sav,51.3,25.299999999999997,10.300000000000004,0.185,1000,1000
160649,sav,51.3,25.299999999999997,10.300000000000004,0.185,1000,1000
161649,sav,51.3,25.299999999999997,10.300000000000004,0.185,1000,1000
162629,sav,51.3,25.299999999999997,10.300000000000004,0.185,1000,980
163639,sav,51.3,25.299999999999997,10.300000000000004,0.185,1000,1010
164639,sav,51.3,25.299999999999997,10.300000000000004,0.185,1000,1000
165629,sav,51.3,25.299999999999997,10.300000000000004,0.185,1000,990
166619,sav,51.3,25.299999999999997,10.300000000000004,0.185,990,990
167609,sav,51.3,25.299999999999997,10.300000000000004,0.185,990,990
168609,sav,51.3,25.299999999999997,10.300000000000004,0.185,990,1000
169599,sav,51.3,25.299999999999997,10.300000000000004,0.185,990,990
170589,sav,51.3,25.299999999999997,10.300000000000004,0.185,990,990
171579,sav,51.3,25.299999999999997,10.300000000000004,0.185,990,990
172569,sav,51.3,25.299999999999997,10.300000000000004,0.185,990,990
173579,sav,51.3,25.299999999999997,10.300000000000004,0.185,990,1010
174589,sav,51.3,25.299999999999997,10.300000000000004,0.185,990,1010
175599,sav,51.3,25.299999999999997,10.300000000000004,0.185,1010,1010
176599,sav,51.3,25.299999999999997,10.300000000000004,0.185,1010,1000
177589,sav,51.3,25.299999999999997,10.300000000000004,0.185,1010,990
178589,sav,51.3,25.299999999999997,10.300000000000004,0.185,1000,1000
179599,sav,51.3,25.299999999999997,10.300000000000004,0.185,1000,1010
180599,sav,51.3,25.299999999999997,10.300000000000004,0.185,1000,1000
181609,sav,51.3,25.299999999999997,10.300000000000004,0.185,1000,1010
182619,sav,51.3,25.299999999999997,10.300000000000004,0.185,1010,1010
183629,sav,51.3,25.299999999999997,10.300000000000004,0.185,1010,1010
184639,sav,51.3,25.299999999999997,10.300000000000004,0.185,1010,1010
185639,sav,51.3,25.299999999999997,10.300000000000004,0.185,1010,1000
186649,sav,51.3,25.299999999999997,10.300000000000004,0.185,1010,1010
187629,sav,51.3,25.299999999999997,10.300000000000004,0.19,1010,980
188619,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,990
189609,sav,51.3,25.299999999999997,10.300000000000004,0.19,990,990
190619,sav,51.3,25.299999999999997,10.300000000000004,0.19,990,1010
191589,sav,51.3,25.299999999999997,10.300000000000004,0.19,990,970
192599,sav,51.3,25.299999999999997,10.300000000000004,0.19,990,1010
193609,sav,51.3,25.299999999999997,10.300000000000004,0.19,1010,1010
194619,sav,51.3,25.299999999999997,10.300000000000004,0.19,1010,1010
195609,sav,51.3,25.299999999999997,10.300000000000004,0.19,1010,990
196609,sav,51.3,25.299999999999997,10.300000000000004,0.19,1010,1000
197609,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1000
198609,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1000
199619,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1010
200609,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,990
201599,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,990
202599,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1000
203609,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1010
204609,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1000
205609,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1000
206609,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1000
207609,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1000
208589,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,980
209569,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,980
210559,sav,51.3,25.299999999999997,10.300000000000004,0.19,990,990
211569,sav,51.3,25.299999999999997,10.300000000000004,0.19,990,1010
212559,sav,51.3,25.299999999999997,10.300000000000004,0.19,990,990
213569,sav,51.3,25.299999999999997,10.300000000000004,0.19,990,1010
214569,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1000
215579,sav,51.3,25.299999999999997,10.300000000000004,0.19,1010,1010
216579,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1000
217589,sav,51.3,25.299999999999997,10.300000000000004,0.19,1010,1010
218569,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,980
219569,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1000
220559,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,990
221559,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1000
222559,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1000
223549,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,990
224559,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,1010
225549,sav,51.3,25.299999999999997,10.300000000000004,0.19,1000,990
226539,sav,51.3,25.299999999999997,10.300000000000004,0.19,990,990
227549,sav,51.3,25.299999999999997,10.300000000000004,0.195,990,1010
228539,sav,51.3,25.299999999999997,10.300000000000004,0.195,990,990
229529,sav,51.3,25.299999999999997,10.300000000000004,0.195,990,990
230519,sav,51.3,25.299999999999997,10.300000000000004,0.195,990,990
231509,sav,51.3,25.299999999999997,10.300000000000004,0.195,990,990
232499,sav,51.3,25.299999999999997,10.300000000000004,0.195,990,990
233509,sav,51.3,25.299999999999997,10.300000000000004,0.195,990,1010
234499,sav,51.3,25.299999999999997,10.300000000000004,0.195,990,990
235499,sav,51.3,25.299999999999997,10.300000000000004,0.195,990,1000
236499,sav,51.3,25.299999999999997,10.300000000000004,0.195,1000,1000
237499,sav,51.3,25.299999999999997,10.300000000000004,0.195,1000,1000
238499,sav,51.3,25.299999999999997,10.300000000000004,0.195,1000,1000
239489,sav,51.3,25.299999999999997,10.300000000000004,0.195,1000,990
240509,sav,51.3,25.299999999999997,10.300000000000004,0.195,1000,1020
241489,sav,51.3,25.299999999999997,10.300000000000004,0.195,1000,980
242469,sav,51.3,25.299999999999997,10.300000000000004,0.195,990,980
243469,sav,51.3,25.299999999999997,10.300000000000004,0.195,990,1000
244469,sav,51.3,25.299999999999997,10.300000000000004,0.195,1000,1000
245479,sav,51.3,25.299999999999997,10.300000000000004,0.195,1000,1010
246499,sav,51.3,25.299999999999997,10.300000000000004,0.195,1000,1020
247649,sav,51.3,25.299999999999997,10.300000000000004,0.195,1010,1150
249399,sav,51.3,25.299999999999997,10.300000000000004,0.195,1010,1750
